run_date,fixture_id,league_id,season,date_utc,home_id,away_id,home_name,away_name,home_goal_rate,away_goal_rate,features_json,collected_at_utc
2025-12-10,1489292,344,2025,2025-12-10T19:00:00+00:00,3701,3637,Blooming,Aurora,2.25,2.0,"{""diff_corner kicks"": -0.6666666666666665, ""diff_goals_for_avg"": -0.19999999999999996, ""diff_offsides"": 0.25, ""diff_shots on goal"": -2.75, ""diff_shots off goal"": -3.8333333333333335, ""diff_total passes"": -32.5, ""diff_blocked shots"": -3.0, ""diff_passes accurate"": -45.33333333333334, ""diff_shots insidebox"": -3.75, ""diff_points_per_game"": 0.0, ""diff_red cards"": 0.33333333333333337, ""diff_shots outsidebox"": -5.833333333333333, ""diff_ball possession"": -0.25, ""diff_fouls"": 1.833333333333334, ""diff_goals_against_avg"": -0.19999999999999973, ""diff_yellow cards"": 1.4166666666666665, ""diff_expected_goals"": -0.46499999999999997, ""diff_goalkeeper saves"": 0.9166666666666665, ""diff_total shots"": -9.583333333333334, ""diff_passes %"": -4.5}",2025-12-09T15:24:42.962304+00:00
2025-12-10,1489293,344,2025,2025-12-10T21:30:00+00:00,17762,15702,Universitario de Vinto,Independiente Petrolero,1.2,1.5,"{""diff_corner kicks"": 2.666666666666667, ""diff_goals_for_avg"": -1.4000000000000001, ""diff_offsides"": -0.5, ""diff_shots on goal"": -1.333333333333333, ""diff_shots off goal"": 1.3333333333333335, ""diff_total passes"": -12.333333333333371, ""diff_blocked shots"": -0.3333333333333335, ""diff_passes accurate"": -18.0, ""diff_shots insidebox"": 1.333333333333334, ""diff_points_per_game"": -1.2000000000000002, ""diff_red cards"": 0.6666666666666667, ""diff_shots outsidebox"": -1.666666666666667, ""diff_ball possession"": -8.0, ""diff_fouls"": -3.333333333333333, ""diff_goals_against_avg"": 0.5, ""diff_yellow cards"": 1.0, ""diff_expected_goals"": 0.3866666666666667, ""diff_goalkeeper saves"": -4.333333333333334, ""diff_total shots"": -0.33333333333333215, ""diff_passes %"": -3.6666666666666714}",2025-12-09T15:25:46.434167+00:00
2025-12-10,1451119,2,2025,2025-12-10T17:45:00+00:00,533,400,Villarreal,FC Copenhagen,1.25,0.4,"{""diff_corner kicks"": -2.4999999999999996, ""diff_goals_for_avg"": -0.7000000000000001, ""diff_offsides"": -0.4444444444444444, ""diff_shots on goal"": -3.0, ""diff_shots off goal"": 0.7999999999999998, ""diff_total passes"": -73.20000000000005, ""diff_blocked shots"": 0.0, ""diff_passes accurate"": -74.29999999999995, ""diff_shots insidebox"": -0.8999999999999995, ""diff_points_per_game"": -0.7, ""diff_red cards"": 1.0, ""diff_shots outsidebox"": -1.3000000000000003, ""diff_ball possession"": -8.299999999999997, ""diff_fouls"": -5.100000000000001, ""diff_goals_against_avg"": 0.10000000000000009, ""diff_yellow cards"": -0.10000000000000009, ""diff_expected_goals"": -0.254, ""diff_goalkeeper saves"": 0.3999999999999999, ""diff_total shots"": -2.200000000000001, ""diff_passes %"": -4.599999999999994, ""diff_goals_prevented"": 0.0}",2025-12-09T15:26:49.884523+00:00
2025-12-10,1451120,2,2025,2025-12-10T17:45:00+00:00,556,194,Qarabag,Ajax,2.4,1.4,"{""diff_corner kicks"": -1.342857142857143, ""diff_goals_for_avg"": 1.2, ""diff_offsides"": -0.6507936507936509, ""diff_shots on goal"": 1.3571428571428572, ""diff_shots off goal"": -0.47142857142857153, ""diff_total passes"": -109.17142857142858, ""diff_blocked shots"": 0.6142857142857143, ""diff_passes accurate"": -115.19999999999999, ""diff_shots insidebox"": 0.48571428571428577, ""diff_points_per_game"": 1.5999999999999999, ""diff_red cards"": -1.0, ""diff_shots outsidebox"": 1.0142857142857142, ""diff_ball possession"": -4.414285714285718, ""diff_fouls"": -4.7142857142857135, ""diff_goals_against_avg"": -1.8000000000000003, ""diff_yellow cards"": -0.5777777777777775, ""diff_expected_goals"": 0.21999999999999997, ""diff_goalkeeper saves"": -0.3142857142857145, ""diff_total shots"": 1.5, ""diff_passes %"": -6.1857142857142975, ""diff_goals_prevented"": 0.4}",2025-12-09T15:28:55.420004+00:00
2025-12-10,1451126,2,2025,2025-12-10T20:00:00+00:00,165,327,Borussia Dortmund,Bodo/Glimt,2.4,1.0,"{""diff_corner kicks"": -0.5333333333333332, ""diff_goals_for_avg"": 0.3999999999999999, ""diff_offsides"": 1.0972222222222223, ""diff_shots on goal"": 1.1333333333333329, ""diff_shots off goal"": 0.3555555555555552, ""diff_total passes"": -50.933333333333394, ""diff_blocked shots"": -1.7222222222222223, ""diff_passes accurate"": -43.388888888888914, ""diff_shots insidebox"": 0.07777777777777928, ""diff_points_per_game"": 0.7, ""diff_red cards"": -1.0, ""diff_shots outsidebox"": -0.3111111111111109, ""diff_ball possession"": -6.388888888888886, ""diff_fouls"": 2.2333333333333343, ""diff_goals_against_avg"": 0.10000000000000009, ""diff_yellow cards"": 0.1777777777777776, ""diff_expected_goals"": -0.026000000000000023, ""diff_goalkeeper saves"": -1.8888888888888888, ""diff_total shots"": -0.23333333333333428, ""diff_passes %"": 0.04444444444443718, ""diff_goals_prevented"": -0.7000000000000001}",2025-12-09T15:31:00.853625+00:00
2025-12-10,1451124,2,2025,2025-12-10T20:00:00+00:00,168,34,Bayer Leverkusen,Newcastle,1.2,1.5,"{""diff_corner kicks"": -0.2999999999999998, ""diff_goals_for_avg"": -0.5, ""diff_offsides"": 0.3555555555555556, ""diff_shots on goal"": -2.1999999999999997, ""diff_shots off goal"": 1.6, ""diff_total passes"": 125.19999999999999, ""diff_blocked shots"": 0.5, ""diff_passes accurate"": 137.8, ""diff_shots insidebox"": -0.7999999999999989, ""diff_points_per_game"": 0.09999999999999987, ""diff_red cards"": 1.0, ""diff_shots outsidebox"": 0.6999999999999997, ""diff_ball possession"": 4.800000000000004, ""diff_fouls"": 0.9000000000000004, ""diff_goals_against_avg"": 0.5999999999999999, ""diff_yellow cards"": 0.5999999999999999, ""diff_expected_goals"": -0.30099999999999993, ""diff_goalkeeper saves"": -1.1999999999999997, ""diff_total shots"": -0.09999999999999964, ""diff_passes %"": 6.599999999999994, ""diff_goals_prevented"": 0.2}",2025-12-09T15:32:08.548400+00:00
2025-12-10,1451127,2,2025,2025-12-10T20:00:00+00:00,211,492,Benfica,Napoli,1.25,1.25,"{""diff_corner kicks"": -0.8000000000000007, ""diff_goals_for_avg"": -0.30000000000000004, ""diff_offsides"": 0.666666666666667, ""diff_shots on goal"": 0.10000000000000009, ""diff_shots off goal"": 0.2999999999999998, ""diff_total passes"": -62.799999999999955, ""diff_blocked shots"": 0.0, ""diff_passes accurate"": -64.40000000000003, ""diff_shots insidebox"": -0.6000000000000005, ""diff_points_per_game"": 0.10000000000000009, ""diff_red cards"": -0.6666666666666667, ""diff_shots outsidebox"": 1.0, ""diff_ball possession"": -2.5, ""diff_fouls"": -1.4000000000000004, ""diff_goals_against_avg"": -0.7, ""diff_yellow cards"": 0.7777777777777779, ""diff_expected_goals"": -0.41700000000000004, ""diff_goalkeeper saves"": -1.6999999999999997, ""diff_total shots"": 0.40000000000000036, ""diff_passes %"": -2.1999999999999886, ""diff_goals_prevented"": -0.16666666666666666}",2025-12-09T15:33:14.110284+00:00
2025-12-10,1451125,2,2025,2025-12-10T20:00:00+00:00,496,3403,Juventus,Pafos,1.8,0.8,"{""diff_corner kicks"": 2.042857142857143, ""diff_goals_for_avg"": 0.2999999999999998, ""diff_offsides"": 1.2000000000000002, ""diff_shots on goal"": 2.7142857142857144, ""diff_shots off goal"": -0.5285714285714289, ""diff_total passes"": 126.84285714285716, ""diff_blocked shots"": 1.9, ""diff_passes accurate"": 149.3285714285714, ""diff_shots insidebox"": 2.0285714285714285, ""diff_points_per_game"": -0.5, ""diff_red cards"": -1.0, ""diff_shots outsidebox"": 2.0571428571428574, ""diff_ball possession"": 9.32857142857143, ""diff_fouls"": 0.27142857142857046, ""diff_goals_against_avg"": 0.4, ""diff_yellow cards"": -0.1142857142857141, ""diff_expected_goals"": 0.45000000000000007, ""diff_goalkeeper saves"": -1.5857142857142854, ""diff_total shots"": 4.085714285714287, ""diff_passes %"": 12.200000000000003, ""diff_goals_prevented"": 0.0}",2025-12-09T15:34:21.424132+00:00
2025-12-10,1451122,2,2025,2025-12-10T20:00:00+00:00,531,85,Athletic Club,Paris Saint Germain,1.25,3.0,"{""diff_corner kicks"": -1.4000000000000004, ""diff_goals_for_avg"": -2.3000000000000003, ""diff_offsides"": -1.0, ""diff_shots on goal"": -4.0, ""diff_shots off goal"": -1.4000000000000004, ""diff_total passes"": -217.10000000000002, ""diff_blocked shots"": -1.2000000000000002, ""diff_passes accurate"": -240.3, ""diff_shots insidebox"": -4.3999999999999995, ""diff_points_per_game"": -1.4, ""diff_red cards"": -0.6666666666666666, ""diff_shots outsidebox"": -2.2, ""diff_ball possession"": -15.700000000000003, ""diff_fouls"": 7.099999999999998, ""diff_goals_against_avg"": 0.19999999999999996, ""diff_yellow cards"": 1.0, ""diff_expected_goals"": -0.8459999999999999, ""diff_goalkeeper saves"": 0.7000000000000002, ""diff_total shots"": -6.6, ""diff_passes %"": -12.200000000000003, ""diff_goals_prevented"": -0.39999999999999997}",2025-12-09T15:37:27.596626+00:00
2025-12-10,1451121,2,2025,2025-12-10T20:00:00+00:00,541,50,Real Madrid,Manchester City,1.8,1.4,"{""diff_corner kicks"": 1.0, ""diff_goals_for_avg"": 0.30000000000000004, ""diff_offsides"": 0.11111111111111094, ""diff_shots on goal"": 1.4000000000000004, ""diff_shots off goal"": 0.09999999999999964, ""diff_total passes"": -104.60000000000002, ""diff_blocked shots"": 1.0000000000000004, ""diff_passes accurate"": -112.60000000000002, ""diff_shots insidebox"": 0.9000000000000004, ""diff_points_per_game"": 0.8, ""diff_red cards"": 1.0, ""diff_shots outsidebox"": 1.5999999999999996, ""diff_ball possession"": -4.800000000000004, ""diff_fouls"": 1.5, ""diff_goals_against_avg"": -0.40000000000000013, ""diff_yellow cards"": 0.13888888888888884, ""diff_expected_goals"": 0.30499999999999994, ""diff_goalkeeper saves"": 1.2999999999999998, ""diff_total shots"": 2.4999999999999982, ""diff_passes %"": -2.8000000000000114, ""diff_goals_prevented"": 0.0}",2025-12-09T15:40:33.913882+00:00
