run_date,fixture_id,league_id,season,date_utc,home_id,away_id,home_name,away_name,home_goal_rate,away_goal_rate,features_json,collected_at_utc
2025-12-26,1469610,188,2025,2025-12-26T08:35:00+00:00,946,15550,Newcastle Jets,Macarthur,1.8,0.5,"{""diff_ball possession"": 7.700000000000003, ""diff_goals_for_avg"": 0.8999999999999999, ""diff_fouls"": -0.6000000000000014, ""diff_offsides"": 0.7999999999999998, ""diff_shots off goal"": 0.9000000000000004, ""diff_corner kicks"": 0.09999999999999964, ""diff_goals_against_avg"": 0.6000000000000001, ""diff_shots on goal"": 1.3000000000000003, ""diff_total passes"": 122.5, ""diff_passes accurate"": 115.60000000000002, ""diff_goalkeeper saves"": 1.1, ""diff_blocked shots"": 2.0999999999999996, ""diff_shots outsidebox"": 0.40000000000000036, ""diff_total shots"": 4.299999999999999, ""diff_shots insidebox"": 3.8999999999999995, ""diff_points_per_game"": 0.10000000000000009, ""diff_expected_goals"": 0.7035714285714285, ""diff_passes %"": 3.9000000000000057, ""diff_yellow cards"": -1.4777777777777779, ""diff_red cards"": 0.0}",2025-12-24T23:22:23.062004+00:00
2025-12-26,1379145,39,2025,2025-12-26T20:00:00+00:00,33,34,Manchester United,Newcastle,2.25,1.4,"{""diff_ball possession"": 2.6000000000000014, ""diff_goals_for_avg"": 0.5000000000000002, ""diff_fouls"": 0.8000000000000007, ""diff_offsides"": 0.0, ""diff_shots off goal"": 1.0, ""diff_corner kicks"": -0.9000000000000004, ""diff_goals_against_avg"": 0.0, ""diff_shots on goal"": 1.3999999999999995, ""diff_total passes"": 5.400000000000034, ""diff_passes accurate"": -9.199999999999989, ""diff_goalkeeper saves"": -0.5, ""diff_blocked shots"": 2.1, ""diff_shots outsidebox"": 0.9000000000000004, ""diff_goals_prevented"": 0.30000000000000004, ""diff_total shots"": 4.500000000000002, ""diff_shots insidebox"": 3.5999999999999996, ""diff_points_per_game"": 0.20000000000000018, ""diff_expected_goals"": 0.29899999999999993, ""diff_passes %"": -3.0999999999999943, ""diff_yellow cards"": 0.022222222222222365, ""diff_red cards"": -0.5}",2025-12-24T23:22:33.796762+00:00
2025-12-26,1382578,144,2025,2025-12-26T12:30:00+00:00,742,569,Genk,Club Brugge KV,1.2,1.8,"{""diff_ball possession"": 1.7999999999999972, ""diff_goals_for_avg"": -0.30000000000000004, ""diff_fouls"": 0.1999999999999993, ""diff_offsides"": 0.7999999999999998, ""diff_shots off goal"": 0.0, ""diff_corner kicks"": -0.6000000000000005, ""diff_goals_against_avg"": 0.5, ""diff_shots on goal"": 0.8999999999999995, ""diff_total passes"": 33.80000000000007, ""diff_passes accurate"": 27.799999999999955, ""diff_goalkeeper saves"": 0.8999999999999999, ""diff_blocked shots"": -0.6999999999999993, ""diff_shots outsidebox"": 1.7000000000000002, ""diff_goals_prevented"": 0.1, ""diff_total shots"": 0.20000000000000284, ""diff_shots insidebox"": -1.5, ""diff_points_per_game"": -0.7000000000000002, ""diff_expected_goals"": -0.10499999999999998, ""diff_passes %"": 0.09999999999999432, ""diff_yellow cards"": -0.5333333333333332, ""diff_red cards"": 0.0}",2025-12-24T23:22:45.128392+00:00
2025-12-26,1382584,144,2025,2025-12-26T15:00:00+00:00,741,1393,Cercle Brugge,Union St. Gilloise,1.4,1.2,"{""diff_ball possession"": 1.8999999999999986, ""diff_goals_for_avg"": -0.40000000000000013, ""diff_fouls"": -1.5999999999999996, ""diff_offsides"": 1.5555555555555554, ""diff_shots off goal"": 0.7999999999999998, ""diff_corner kicks"": 0.20000000000000018, ""diff_goals_against_avg"": 0.9000000000000001, ""diff_shots on goal"": -0.39999999999999947, ""diff_total passes"": -28.80000000000001, ""diff_passes accurate"": -38.80000000000001, ""diff_goalkeeper saves"": 1.6, ""diff_blocked shots"": -0.7000000000000002, ""diff_shots outsidebox"": 0.20000000000000018, ""diff_goals_prevented"": 0.0, ""diff_total shots"": -0.29999999999999893, ""diff_shots insidebox"": -0.5, ""diff_points_per_game"": -1.1, ""diff_expected_goals"": 0.04899999999999993, ""diff_passes %"": -4.5, ""diff_yellow cards"": -0.19999999999999996}",2025-12-24T23:22:56.072170+00:00
2025-12-26,1382579,144,2025,2025-12-26T17:30:00+00:00,733,735,Standard Liege,St. Truiden,1.0,1.6,"{""diff_ball possession"": -8.300000000000004, ""diff_goals_for_avg"": -0.8, ""diff_fouls"": 0.40000000000000036, ""diff_offsides"": 0.08571428571428541, ""diff_shots off goal"": -1.1999999999999997, ""diff_corner kicks"": -1.4000000000000004, ""diff_goals_against_avg"": -0.20000000000000007, ""diff_shots on goal"": -1.1999999999999997, ""diff_total passes"": -87.19999999999999, ""diff_passes accurate"": -95.0, ""diff_goalkeeper saves"": 0.0, ""diff_blocked shots"": -1.3000000000000003, ""diff_shots outsidebox"": -1.8000000000000003, ""diff_goals_prevented"": 0.1, ""diff_total shots"": -3.6999999999999993, ""diff_shots insidebox"": -1.8999999999999995, ""diff_points_per_game"": -0.6000000000000001, ""diff_expected_goals"": -1.137, ""diff_passes %"": -8.100000000000009, ""diff_yellow cards"": -0.19999999999999996, ""diff_red cards"": 1.0}",2025-12-24T23:23:06.784276+00:00
2025-12-26,1382581,144,2025,2025-12-26T19:45:00+00:00,554,736,Anderlecht,Charleroi,1.6,0.6,"{""diff_ball possession"": 5.400000000000006, ""diff_goals_for_avg"": 0.4, ""diff_fouls"": 3.4000000000000004, ""diff_offsides"": -0.36111111111111116, ""diff_shots off goal"": 0.9000000000000004, ""diff_corner kicks"": 1.4000000000000004, ""diff_goals_against_avg"": -0.19999999999999996, ""diff_shots on goal"": 0.5, ""diff_total passes"": 56.0, ""diff_passes accurate"": 46.5, ""diff_goalkeeper saves"": 0.2999999999999998, ""diff_blocked shots"": 2.4000000000000004, ""diff_shots outsidebox"": 2.2, ""diff_goals_prevented"": 0.4, ""diff_total shots"": 3.8000000000000007, ""diff_shots insidebox"": 1.6000000000000005, ""diff_points_per_game"": 1.1, ""diff_expected_goals"": 0.21899999999999986, ""diff_passes %"": 0.10000000000000853, ""diff_yellow cards"": 0.7000000000000002, ""diff_red cards"": 0.0}",2025-12-24T23:23:17.906467+00:00
2025-12-26,1386815,40,2025,2025-12-26T12:30:00+00:00,54,69,Birmingham,Derby,3.0,2.2,"{""diff_ball possession"": 11.599999999999994, ""diff_goals_for_avg"": 0.09999999999999987, ""diff_fouls"": -0.9000000000000004, ""diff_offsides"": -0.11111111111111094, ""diff_shots off goal"": 1.2999999999999998, ""diff_corner kicks"": -0.7000000000000002, ""diff_goals_against_avg"": 0.0, ""diff_shots on goal"": 0.3000000000000007, ""diff_total passes"": 117.69999999999999, ""diff_passes accurate"": 119.39999999999998, ""diff_goalkeeper saves"": 0.9999999999999998, ""diff_blocked shots"": 1.4, ""diff_shots outsidebox"": 2.0, ""diff_goals_prevented"": 0.2, ""diff_total shots"": 3.0, ""diff_shots insidebox"": 1.0, ""diff_points_per_game"": -0.30000000000000004, ""diff_expected_goals"": 0.45299999999999985, ""diff_passes %"": 9.200000000000003, ""diff_yellow cards"": -0.022222222222222365, ""diff_red cards"": 1.0}",2025-12-24T23:23:28.711059+00:00
2025-12-26,1386820,40,2025,2025-12-26T13:00:00+00:00,58,57,Millwall,Ipswich,1.5,1.8,"{""diff_ball possession"": -7.099999999999994, ""diff_goals_for_avg"": -0.5999999999999999, ""diff_fouls"": 3.4000000000000004, ""diff_offsides"": 0.0, ""diff_shots off goal"": 0.39999999999999947, ""diff_corner kicks"": 2.0, ""diff_goals_against_avg"": 0.9, ""diff_shots on goal"": -0.8999999999999995, ""diff_total passes"": -100.10000000000002, ""diff_passes accurate"": -125.49999999999997, ""diff_goalkeeper saves"": 1.6999999999999997, ""diff_blocked shots"": -1.9, ""diff_shots outsidebox"": -1.4000000000000004, ""diff_goals_prevented"": -0.2, ""diff_total shots"": -2.4000000000000004, ""diff_shots insidebox"": -1.0, ""diff_points_per_game"": -0.6000000000000001, ""diff_expected_goals"": -0.3739999999999999, ""diff_passes %"": -12.600000000000009, ""diff_yellow cards"": -0.44444444444444464, ""diff_red cards"": 1.0}",2025-12-24T23:23:40.705678+00:00
2025-12-26,1386821,40,2025,2025-12-26T15:00:00+00:00,46,38,Leicester,Watford,1.6,1.75,"{""diff_ball possession"": -4.599999999999994, ""diff_goals_for_avg"": -0.09999999999999987, ""diff_fouls"": 0.5999999999999996, ""diff_offsides"": 0.6333333333333334, ""diff_shots off goal"": -1.5, ""diff_corner kicks"": -1.5, ""diff_goals_against_avg"": 0.7, ""diff_shots on goal"": -2.0, ""diff_total passes"": -52.900000000000034, ""diff_passes accurate"": -48.89999999999998, ""diff_goalkeeper saves"": 1.4, ""diff_blocked shots"": -0.5000000000000004, ""diff_shots outsidebox"": -2.1999999999999997, ""diff_goals_prevented"": 0.19999999999999998, ""diff_total shots"": -4.0, ""diff_shots insidebox"": -1.7999999999999998, ""diff_points_per_game"": -0.30000000000000004, ""diff_expected_goals"": -0.06600000000000006, ""diff_passes %"": -1.7000000000000028, ""diff_yellow cards"": 0.2999999999999998, ""diff_red cards"": 0.5}",2025-12-24T23:23:52.539064+00:00
2025-12-26,1386825,40,2025,2025-12-26T15:00:00+00:00,60,56,West Brom,Bristol City,1.6,0.6,"{""diff_ball possession"": 4.5, ""diff_goals_for_avg"": 0.30000000000000004, ""diff_fouls"": 1.0, ""diff_offsides"": -0.08888888888888902, ""diff_shots off goal"": 1.8999999999999995, ""diff_corner kicks"": -0.3000000000000007, ""diff_goals_against_avg"": 0.19999999999999996, ""diff_shots on goal"": -0.5, ""diff_total passes"": 70.09999999999997, ""diff_passes accurate"": 67.59999999999997, ""diff_goalkeeper saves"": -1.6, ""diff_blocked shots"": 0.09999999999999964, ""diff_shots outsidebox"": 0.20000000000000018, ""diff_goals_prevented"": 0.0, ""diff_total shots"": 1.5, ""diff_shots insidebox"": 1.3000000000000007, ""diff_points_per_game"": 0.0, ""diff_expected_goals"": 0.17900000000000005, ""diff_passes %"": 3.0, ""diff_yellow cards"": 0.32499999999999996, ""diff_red cards"": 1.0}",2025-12-24T23:24:04.427542+00:00
