run_date,fixture_id,league_id,season,bookmaker_id,odds_home,odds_draw,odds_away,collected_at_utc
2026-01-04,1378041,135,2025,1,3.35,3.05,2.32,2026-01-03T00:02:36.965724+00:00
2026-01-04,1378041,135,2025,7,3.25,2.9,2.3,2026-01-03T00:02:36.965724+00:00
2026-01-04,1378041,135,2025,8,3.4,3.1,2.3,2026-01-03T00:02:36.965724+00:00
2026-01-04,1378041,135,2025,2,3.46,3.08,2.35,2026-01-03T00:02:36.965724+00:00
2026-01-04,1378041,135,2025,16,3.6,3.0,2.2,2026-01-03T00:02:36.965724+00:00
2026-01-04,1378041,135,2025,3,3.6,3.0,2.3,2026-01-03T00:02:36.965724+00:00
2026-01-04,1378041,135,2025,13,3.55,2.94,2.38,2026-01-03T00:02:36.965724+00:00
2026-01-04,1378041,135,2025,4,3.56,3.07,2.34,2026-01-03T00:02:36.965724+00:00
2026-01-04,1378041,135,2025,5,2.95,2.77,2.32,2026-01-03T00:02:36.965724+00:00
2026-01-04,1378041,135,2025,11,3.54,3.15,2.4,2026-01-03T00:02:36.965724+00:00
2026-01-04,1378041,135,2025,32,3.45,3.0,2.32,2026-01-03T00:02:36.965724+00:00
2026-01-04,1378041,135,2025,34,3.55,3.0,2.35,2026-01-03T00:02:36.965724+00:00
2026-01-04,1378037,135,2025,1,1.75,3.5,4.9,2026-01-03T00:02:50.043677+00:00
2026-01-04,1378037,135,2025,7,1.75,3.4,4.5,2026-01-03T00:02:50.043677+00:00
2026-01-04,1378037,135,2025,8,1.73,3.5,5.25,2026-01-03T00:02:50.043677+00:00
2026-01-04,1378037,135,2025,2,1.77,3.65,5.0,2026-01-03T00:02:50.043677+00:00
2026-01-04,1378037,135,2025,16,1.71,3.55,5.0,2026-01-03T00:02:50.043677+00:00
2026-01-04,1378037,135,2025,3,1.75,3.5,5.0,2026-01-03T00:02:50.043677+00:00
2026-01-04,1378037,135,2025,13,1.78,3.7,4.85,2026-01-03T00:02:50.043677+00:00
2026-01-04,1378037,135,2025,4,1.74,3.79,5.04,2026-01-03T00:02:50.043677+00:00
2026-01-04,1378037,135,2025,5,1.73,3.26,4.13,2026-01-03T00:02:50.043677+00:00
2026-01-04,1378037,135,2025,11,1.81,3.74,5.11,2026-01-03T00:02:50.043677+00:00
2026-01-04,1378037,135,2025,32,1.75,3.7,4.85,2026-01-03T00:02:50.043677+00:00
2026-01-04,1378037,135,2025,34,1.76,3.65,5.0,2026-01-03T00:02:50.043677+00:00
2026-01-04,1378043,135,2025,1,2.66,3.0,2.84,2026-01-03T00:03:03.141856+00:00
2026-01-04,1378043,135,2025,7,2.62,2.9,2.8,2026-01-03T00:03:03.141856+00:00
2026-01-04,1378043,135,2025,8,2.62,3.0,2.9,2026-01-03T00:03:03.141856+00:00
2026-01-04,1378043,135,2025,2,2.71,3.02,2.96,2026-01-03T00:03:03.141856+00:00
2026-01-04,1378043,135,2025,16,2.6,3.0,2.9,2026-01-03T00:03:03.141856+00:00
2026-01-04,1378043,135,2025,3,2.7,2.9,3.0,2026-01-03T00:03:03.141856+00:00
2026-01-04,1378043,135,2025,13,2.66,3.0,3.0,2026-01-03T00:03:03.141856+00:00
2026-01-04,1378043,135,2025,4,2.74,2.97,3.03,2026-01-03T00:03:03.141856+00:00
2026-01-04,1378043,135,2025,5,2.47,2.87,2.65,2026-01-03T00:03:03.141856+00:00
2026-01-04,1378043,135,2025,11,2.77,3.08,3.02,2026-01-03T00:03:03.141856+00:00
2026-01-04,1378043,135,2025,32,2.7,2.87,3.0,2026-01-03T00:03:03.141856+00:00
2026-01-04,1378043,135,2025,34,2.72,2.9,3.05,2026-01-03T00:03:03.141856+00:00
2026-01-04,1378039,135,2025,1,1.42,4.6,7.3,2026-01-03T00:03:16.248158+00:00
2026-01-04,1378039,135,2025,7,1.4,4.4,6.5,2026-01-03T00:03:16.248158+00:00
2026-01-04,1378039,135,2025,8,1.42,4.75,7.0,2026-01-03T00:03:16.248158+00:00
2026-01-04,1378039,135,2025,2,1.43,4.8,7.6,2026-01-03T00:03:16.248158+00:00
2026-01-04,1378039,135,2025,16,1.37,4.7,8.0,2026-01-03T00:03:16.248158+00:00
2026-01-04,1378039,135,2025,3,1.4,4.75,8.0,2026-01-03T00:03:16.248158+00:00
2026-01-04,1378039,135,2025,13,1.4,5.0,7.6,2026-01-03T00:03:16.248158+00:00
2026-01-04,1378039,135,2025,4,1.41,4.97,7.73,2026-01-03T00:03:16.248158+00:00
2026-01-04,1378039,135,2025,5,1.36,4.16,6.57,2026-01-03T00:03:16.248158+00:00
2026-01-04,1378039,135,2025,11,1.46,4.91,7.75,2026-01-03T00:03:16.248158+00:00
2026-01-04,1378039,135,2025,32,1.44,4.45,7.6,2026-01-03T00:03:16.248158+00:00
2026-01-04,1378039,135,2025,34,1.44,4.75,7.2,2026-01-03T00:03:16.248158+00:00
2026-01-04,1379164,39,2025,1,2.56,3.3,2.72,2026-01-03T00:03:29.292143+00:00
2026-01-04,1379164,39,2025,7,2.5,3.3,2.62,2026-01-03T00:03:29.292143+00:00
2026-01-04,1379164,39,2025,8,2.6,3.3,2.7,2026-01-03T00:03:29.292143+00:00
2026-01-04,1379164,39,2025,2,2.62,3.48,2.75,2026-01-03T00:03:29.292143+00:00
2026-01-04,1379164,39,2025,16,2.55,3.5,2.65,2026-01-03T00:03:29.292143+00:00
2026-01-04,1379164,39,2025,3,2.55,3.4,2.75,2026-01-03T00:03:29.292143+00:00
2026-01-04,1379164,39,2025,13,2.55,3.55,2.7,2026-01-03T00:03:29.292143+00:00
2026-01-04,1379164,39,2025,4,2.55,3.56,2.77,2026-01-03T00:03:29.292143+00:00
2026-01-04,1379164,39,2025,5,2.38,3.14,2.56,2026-01-03T00:03:29.292143+00:00
2026-01-04,1379164,39,2025,11,2.67,3.54,2.8,2026-01-03T00:03:29.292143+00:00
2026-01-04,1379164,39,2025,32,2.55,3.4,2.75,2026-01-03T00:03:29.292143+00:00
2026-01-04,1379164,39,2025,34,2.55,3.45,2.75,2026-01-03T00:03:29.292143+00:00
2026-01-04,1379166,39,2025,1,1.65,3.9,5.1,2026-01-03T00:03:42.403685+00:00
2026-01-04,1379166,39,2025,7,1.65,3.8,4.8,2026-01-03T00:03:42.403685+00:00
2026-01-04,1379166,39,2025,8,1.67,4.0,5.0,2026-01-03T00:03:42.403685+00:00
2026-01-04,1379166,39,2025,2,1.69,4.05,5.2,2026-01-03T00:03:42.403685+00:00
2026-01-04,1379166,39,2025,16,1.62,4.0,5.3,2026-01-03T00:03:42.403685+00:00
2026-01-04,1379166,39,2025,3,1.67,4.0,5.0,2026-01-03T00:03:42.403685+00:00
2026-01-04,1379166,39,2025,13,1.67,4.1,5.1,2026-01-03T00:03:42.403685+00:00
2026-01-04,1379166,39,2025,4,1.68,4.12,5.06,2026-01-03T00:03:42.403685+00:00
2026-01-04,1379166,39,2025,5,1.65,3.44,4.32,2026-01-03T00:03:42.403685+00:00
2026-01-04,1379166,39,2025,11,1.72,4.11,5.28,2026-01-03T00:03:42.403685+00:00
2026-01-04,1379166,39,2025,32,1.7,3.9,4.9,2026-01-03T00:03:42.403685+00:00
2026-01-04,1379166,39,2025,34,1.68,4.0,5.0,2026-01-03T00:03:42.403685+00:00
2026-01-04,1379163,39,2025,1,3.75,3.65,1.93,2026-01-03T00:03:55.524213+00:00
2026-01-04,1379163,39,2025,7,3.6,3.5,1.91,2026-01-03T00:03:55.524213+00:00
2026-01-04,1379163,39,2025,8,3.8,3.75,1.91,2026-01-03T00:03:55.524213+00:00
2026-01-04,1379163,39,2025,2,3.84,3.76,1.98,2026-01-03T00:03:55.524213+00:00
2026-01-04,1379163,39,2025,16,3.7,3.55,2.0,2026-01-03T00:03:55.524213+00:00
2026-01-04,1379163,39,2025,3,3.9,3.7,1.95,2026-01-03T00:03:55.524213+00:00
2026-01-04,1379163,39,2025,13,3.65,3.85,1.96,2026-01-03T00:03:55.524213+00:00
2026-01-04,1379163,39,2025,4,3.75,3.81,1.98,2026-01-03T00:03:55.524213+00:00
2026-01-04,1379163,39,2025,5,3.33,3.17,1.95,2026-01-03T00:03:55.524213+00:00
2026-01-04,1379163,39,2025,11,3.9,3.82,2.01,2026-01-03T00:03:55.524213+00:00
2026-01-04,1379163,39,2025,32,3.75,3.65,1.95,2026-01-03T00:03:55.524213+00:00
2026-01-04,1379163,39,2025,34,3.7,3.65,2.0,2026-01-03T00:03:55.524213+00:00
2026-01-04,1379162,39,2025,1,2.34,3.25,3.1,2026-01-03T00:04:08.582022+00:00
2026-01-04,1379162,39,2025,7,2.38,3.1,3.0,2026-01-03T00:04:08.582022+00:00
2026-01-04,1379162,39,2025,8,2.35,3.25,3.1,2026-01-03T00:04:08.582022+00:00
2026-01-04,1379162,39,2025,2,2.45,3.24,3.18,2026-01-03T00:04:08.582022+00:00
2026-01-04,1379162,39,2025,16,2.38,3.2,3.15,2026-01-03T00:04:08.582022+00:00
2026-01-04,1379162,39,2025,3,2.4,3.1,3.25,2026-01-03T00:04:08.582022+00:00
2026-01-04,1379162,39,2025,13,2.36,3.2,3.25,2026-01-03T00:04:08.582022+00:00
2026-01-04,1379162,39,2025,4,2.41,3.18,3.3,2026-01-03T00:04:08.582022+00:00
2026-01-04,1379162,39,2025,5,2.3,2.98,2.8,2026-01-03T00:04:08.582022+00:00
2026-01-04,1379162,39,2025,11,2.49,3.29,3.23,2026-01-03T00:04:08.582022+00:00
2026-01-04,1379162,39,2025,32,2.4,3.1,3.2,2026-01-03T00:04:08.582022+00:00
2026-01-04,1379162,39,2025,34,2.4,3.1,3.3,2026-01-03T00:04:08.582022+00:00
2026-01-04,1379167,39,2025,1,1.87,3.45,4.3,2026-01-03T00:04:21.663762+00:00
2026-01-04,1379167,39,2025,7,1.8,3.4,4.4,2026-01-03T00:04:21.663762+00:00
2026-01-04,1379167,39,2025,8,1.83,3.5,4.5,2026-01-03T00:04:21.663762+00:00
2026-01-04,1379167,39,2025,2,1.84,3.64,4.7,2026-01-03T00:04:21.663762+00:00
