run_date,fixture_id,league_id,season,bookmaker_id,odds_home,odds_draw,odds_away,collected_at_utc
2025-12-09,1451111,2,2025,1,1.22,7.0,10.25,2025-12-09T01:58:01.753198+00:00
2025-12-09,1451111,2,2025,7,1.22,6.5,11.0,2025-12-09T01:58:01.753198+00:00
2025-12-09,1451111,2,2025,8,1.22,7.0,11.0,2025-12-09T01:58:01.753198+00:00
2025-12-09,1451111,2,2025,2,1.24,6.85,12.5,2025-12-09T01:58:01.753198+00:00
2025-12-09,1451111,2,2025,16,1.2,7.0,12.0,2025-12-09T01:58:01.753198+00:00
2025-12-09,1451111,2,2025,3,1.2,7.0,14.0,2025-12-09T01:58:01.753198+00:00
2025-12-09,1451111,2,2025,13,1.19,6.3,9.7,2025-12-09T01:58:01.753198+00:00
2025-12-09,1451111,2,2025,4,1.22,7.23,11.57,2025-12-09T01:58:01.753198+00:00
2025-12-09,1451111,2,2025,5,1.19,5.99,9.06,2025-12-09T01:58:01.753198+00:00
2025-12-09,1451111,2,2025,11,1.26,6.96,12.7,2025-12-09T01:58:01.753198+00:00
2025-12-09,1451111,2,2025,32,1.24,7.0,13.0,2025-12-09T01:58:01.753198+00:00
2025-12-09,1451113,2,2025,1,2.08,3.55,3.35,2025-12-09T02:00:19.652224+00:00
2025-12-09,1451113,2,2025,7,2.1,3.5,3.25,2025-12-09T02:00:19.652224+00:00
2025-12-09,1451113,2,2025,8,2.05,3.6,3.5,2025-12-09T02:00:19.652224+00:00
2025-12-09,1451113,2,2025,2,2.15,3.66,3.4,2025-12-09T02:00:19.652224+00:00
2025-12-09,1451113,2,2025,16,2.04,3.65,3.45,2025-12-09T02:00:19.652224+00:00
2025-12-09,1451113,2,2025,3,2.1,3.6,3.4,2025-12-09T02:00:19.652224+00:00
2025-12-09,1451113,2,2025,13,2.06,3.45,3.1,2025-12-09T02:00:19.652224+00:00
2025-12-09,1451113,2,2025,4,2.07,3.74,3.53,2025-12-09T02:00:19.652224+00:00
2025-12-09,1451113,2,2025,5,2.08,3.23,2.96,2025-12-09T02:00:19.652224+00:00
2025-12-09,1451113,2,2025,11,2.19,3.72,3.46,2025-12-09T02:00:19.652224+00:00
2025-12-09,1451113,2,2025,32,2.05,3.65,3.45,2025-12-09T02:00:19.652224+00:00
2025-12-09,1451118,2,2025,1,2.92,3.65,2.25,2025-12-09T02:19:48.739694+00:00
2025-12-09,1451118,2,2025,7,2.9,3.7,2.2,2025-12-09T02:19:48.739694+00:00
2025-12-09,1451118,2,2025,8,3.0,3.75,2.25,2025-12-09T02:19:48.739694+00:00
2025-12-09,1451118,2,2025,2,3.02,3.88,2.26,2025-12-09T02:19:48.739694+00:00
2025-12-09,1451118,2,2025,16,3.0,3.75,2.2,2025-12-09T02:19:48.739694+00:00
2025-12-09,1451118,2,2025,3,3.0,3.75,2.25,2025-12-09T02:19:48.739694+00:00
2025-12-09,1451118,2,2025,13,2.62,3.65,2.25,2025-12-09T02:19:48.739694+00:00
2025-12-09,1451118,2,2025,4,3.0,3.81,2.29,2025-12-09T02:19:48.739694+00:00
2025-12-09,1451118,2,2025,5,2.66,3.28,2.23,2025-12-09T02:19:48.739694+00:00
2025-12-09,1451118,2,2025,11,3.06,3.94,2.3,2025-12-09T02:19:48.739694+00:00
2025-12-09,1451118,2,2025,32,2.95,3.7,2.27,2025-12-09T02:19:48.739694+00:00
2025-12-09,1386779,40,2025,1,3.85,3.55,1.93,2025-12-09T02:21:51.739541+00:00
2025-12-09,1386779,40,2025,7,3.7,3.4,1.95,2025-12-09T02:21:51.739541+00:00
2025-12-09,1386779,40,2025,8,3.6,3.6,1.95,2025-12-09T02:21:51.739541+00:00
2025-12-09,1386779,40,2025,2,3.72,3.48,1.94,2025-12-09T02:21:51.739541+00:00
2025-12-09,1386779,40,2025,16,3.85,3.5,1.93,2025-12-09T02:21:51.739541+00:00
2025-12-09,1386779,40,2025,3,3.9,3.5,1.95,2025-12-09T02:21:51.739541+00:00
2025-12-09,1386779,40,2025,13,3.4,3.55,1.99,2025-12-09T02:21:51.739541+00:00
2025-12-09,1386779,40,2025,4,3.89,3.51,2.01,2025-12-09T02:21:51.739541+00:00
2025-12-09,1386779,40,2025,5,3.34,3.14,1.96,2025-12-09T02:21:51.739541+00:00
2025-12-09,1386779,40,2025,11,3.71,3.48,1.96,2025-12-09T02:21:51.739541+00:00
2025-12-09,1386779,40,2025,32,3.8,3.6,1.98,2025-12-09T02:21:51.739541+00:00
2025-12-09,1386780,40,2025,1,1.68,3.75,5.0,2025-12-09T02:24:54.557601+00:00
2025-12-09,1386780,40,2025,7,1.67,3.75,4.8,2025-12-09T02:24:54.557601+00:00
2025-12-09,1386780,40,2025,8,1.67,3.7,5.25,2025-12-09T02:24:54.557601+00:00
2025-12-09,1386780,40,2025,2,1.64,3.82,5.0,2025-12-09T02:24:54.557601+00:00
2025-12-09,1386780,40,2025,16,1.63,3.75,5.4,2025-12-09T02:24:54.557601+00:00
2025-12-09,1386780,40,2025,3,1.67,3.9,4.75,2025-12-09T02:24:54.557601+00:00
2025-12-09,1386780,40,2025,13,1.66,3.9,4.5,2025-12-09T02:24:54.557601+00:00
2025-12-09,1386780,40,2025,4,1.68,3.99,5.05,2025-12-09T02:24:54.557601+00:00
2025-12-09,1386780,40,2025,5,1.66,3.5,4.19,2025-12-09T02:24:54.557601+00:00
2025-12-09,1386780,40,2025,11,1.66,3.82,4.93,2025-12-09T02:24:54.557601+00:00
2025-12-09,1386780,40,2025,32,1.7,4.05,5.2,2025-12-09T02:24:54.557601+00:00
2025-12-09,1386782,40,2025,1,1.77,3.5,4.75,2025-12-09T02:26:57.289826+00:00
2025-12-09,1386782,40,2025,7,1.8,3.5,4.33,2025-12-09T02:26:57.289826+00:00
2025-12-09,1386782,40,2025,8,1.8,3.5,4.5,2025-12-09T02:26:57.289826+00:00
2025-12-09,1386782,40,2025,2,1.76,3.52,4.55,2025-12-09T02:26:57.289826+00:00
2025-12-09,1386782,40,2025,16,1.74,3.6,4.8,2025-12-09T02:26:57.289826+00:00
2025-12-09,1386782,40,2025,3,1.75,3.6,4.6,2025-12-09T02:26:57.289826+00:00
2025-12-09,1386782,40,2025,13,1.8,3.55,4.1,2025-12-09T02:26:57.289826+00:00
