run_date,fixture_id,league_id,season,bookmaker_id,odds_home,odds_draw,odds_away,collected_at_utc
2026-01-07,1378049,135,2025,1,1.34,4.55,10.75,2026-01-06T11:44:33.231437+00:00
2026-01-07,1378049,135,2025,7,1.35,4.6,8.5,2026-01-06T11:44:33.231437+00:00
2026-01-07,1378049,135,2025,8,1.36,5.5,7.5,2026-01-06T11:44:33.231437+00:00
2026-01-07,1378049,135,2025,2,1.36,4.9,10.0,2026-01-06T11:44:33.231437+00:00
2026-01-07,1378049,135,2025,16,1.33,4.6,10.5,2026-01-06T11:44:33.231437+00:00
2026-01-07,1378049,135,2025,3,1.33,5.0,10.5,2026-01-06T11:44:33.231437+00:00
2026-01-07,1378049,135,2025,13,1.45,4.45,7.8,2026-01-06T11:44:33.231437+00:00
2026-01-07,1378049,135,2025,4,1.36,5.27,8.82,2026-01-06T11:44:33.231437+00:00
2026-01-07,1378049,135,2025,5,1.31,4.19,8.3,2026-01-06T11:44:33.231437+00:00
2026-01-07,1378049,135,2025,11,1.39,5.01,10.2,2026-01-06T11:44:33.231437+00:00
2026-01-07,1378049,135,2025,32,1.38,4.65,9.25,2026-01-06T11:44:33.231437+00:00
2026-01-07,1378049,135,2025,34,1.37,5.1,8.4,2026-01-06T11:44:33.231437+00:00
2026-01-07,1378044,135,2025,1,2.74,3.3,2.56,2026-01-06T11:44:46.980901+00:00
2026-01-07,1378044,135,2025,7,2.62,3.1,2.5,2026-01-06T11:44:46.980901+00:00
2026-01-07,1378044,135,2025,8,2.75,3.3,2.6,2026-01-06T11:44:46.980901+00:00
2026-01-07,1378044,135,2025,2,2.8,3.34,2.66,2026-01-06T11:44:46.980901+00:00
2026-01-07,1378044,135,2025,16,2.7,3.35,2.55,2026-01-06T11:44:46.980901+00:00
2026-01-07,1378044,135,2025,3,2.7,3.3,2.63,2026-01-06T11:44:46.980901+00:00
2026-01-07,1378044,135,2025,13,2.73,3.4,2.61,2026-01-06T11:44:46.980901+00:00
2026-01-07,1378044,135,2025,4,2.82,3.31,2.66,2026-01-06T11:44:46.980901+00:00
2026-01-07,1378044,135,2025,5,2.52,3.09,2.44,2026-01-06T11:44:46.980901+00:00
2026-01-07,1378044,135,2025,11,2.85,3.4,2.7,2026-01-06T11:44:46.980901+00:00
2026-01-07,1378044,135,2025,32,2.77,3.25,2.62,2026-01-06T11:44:46.980901+00:00
