run_date,fixture_id,league_id,season,bookmaker_id,odds_home,odds_draw,odds_away,collected_at_utc
2025-12-04,1478040,71,2025,1,1.31,5.2,9.6,2025-12-03T22:25:17.767284+00:00
2025-12-04,1478040,71,2025,7,1.29,5.0,10.0,2025-12-03T22:25:17.767284+00:00
2025-12-04,1478040,71,2025,8,1.3,5.5,9.5,2025-12-03T22:25:17.767284+00:00
2025-12-04,1478040,71,2025,2,1.29,5.1,9.9,2025-12-03T22:25:17.767284+00:00
2025-12-04,1478040,71,2025,16,1.32,5.0,9.5,2025-12-03T22:25:17.767284+00:00
2025-12-04,1478040,71,2025,3,1.25,5.0,11.0,2025-12-03T22:25:17.767284+00:00
2025-12-04,1478040,71,2025,13,1.24,5.6,10.5,2025-12-03T22:25:17.767284+00:00
2025-12-04,1478040,71,2025,4,1.28,5.65,12.42,2025-12-03T22:25:17.767284+00:00
2025-12-04,1478040,71,2025,5,1.29,5.22,8.87,2025-12-03T22:25:17.767284+00:00
2025-12-04,1478040,71,2025,11,1.32,5.34,10.3,2025-12-03T22:25:17.767284+00:00
2025-12-04,1478040,71,2025,32,1.33,5.4,11.5,2025-12-03T22:25:17.767284+00:00
2025-12-04,1478007,71,2025,1,3.1,3.1,2.42,2025-12-03T22:25:23.626430+00:00
2025-12-04,1478007,71,2025,7,3.1,2.9,2.3,2025-12-03T22:25:23.626430+00:00
2025-12-04,1478007,71,2025,8,3.4,3.0,2.3,2025-12-03T22:25:23.626430+00:00
2025-12-04,1478007,71,2025,2,3.1,3.05,2.38,2025-12-03T22:25:23.626430+00:00
2025-12-04,1478007,71,2025,16,3.05,3.1,2.43,2025-12-03T22:25:23.626430+00:00
2025-12-04,1478007,71,2025,3,3.0,3.0,2.4,2025-12-03T22:25:23.626430+00:00
2025-12-04,1478007,71,2025,13,2.89,3.2,2.38,2025-12-03T22:25:23.626430+00:00
2025-12-04,1478007,71,2025,4,3.33,3.15,2.41,2025-12-03T22:25:23.626430+00:00
2025-12-04,1478007,71,2025,5,2.98,2.99,2.38,2025-12-03T22:25:23.626430+00:00
2025-12-04,1478007,71,2025,11,3.18,3.14,2.44,2025-12-03T22:25:23.626430+00:00
2025-12-04,1478007,71,2025,32,3.3,3.05,2.4,2025-12-03T22:25:23.626430+00:00
2025-12-04,1478039,71,2025,1,2.14,3.3,3.5,2025-12-03T22:25:28.600007+00:00
2025-12-04,1478039,71,2025,7,2.15,3.1,3.3,2025-12-03T22:25:28.600007+00:00
2025-12-04,1478039,71,2025,8,2.1,3.1,3.8,2025-12-03T22:25:28.600007+00:00
2025-12-04,1478039,71,2025,2,2.1,3.18,3.55,2025-12-03T22:25:28.600007+00:00
2025-12-04,1478039,71,2025,16,2.02,3.3,3.8,2025-12-03T22:25:28.600007+00:00
2025-12-04,1478039,71,2025,3,2.1,3.3,3.5,2025-12-03T22:25:28.600007+00:00
2025-12-04,1478039,71,2025,13,2.12,3.2,3.35,2025-12-03T22:25:28.600007+00:00
2025-12-04,1478039,71,2025,4,2.12,3.22,3.74,2025-12-03T22:25:28.600007+00:00
2025-12-04,1478039,71,2025,5,2.12,2.98,3.08,2025-12-03T22:25:28.600007+00:00
2025-12-04,1478039,71,2025,11,2.16,3.27,3.66,2025-12-03T22:25:28.600007+00:00
2025-12-04,1478039,71,2025,32,2.18,3.25,3.85,2025-12-03T22:25:28.600007+00:00
2025-12-04,1379106,39,2025,1,1.44,4.55,6.8,2025-12-03T22:26:48.448592+00:00
2025-12-04,1379106,39,2025,7,1.44,4.6,6.0,2025-12-03T22:26:48.448592+00:00
2025-12-04,1379106,39,2025,8,1.48,4.75,6.0,2025-12-03T22:26:48.448592+00:00
2025-12-04,1379106,39,2025,2,1.49,4.95,6.45,2025-12-03T22:26:48.448592+00:00
2025-12-04,1379106,39,2025,16,1.43,4.9,6.75,2025-12-03T22:26:48.448592+00:00
2025-12-04,1379106,39,2025,3,1.44,5.0,7.0,2025-12-03T22:26:48.448592+00:00
2025-12-04,1379106,39,2025,13,1.5,4.95,5.8,2025-12-03T22:26:48.448592+00:00
2025-12-04,1379106,39,2025,4,1.48,4.87,6.44,2025-12-03T22:26:48.448592+00:00
2025-12-04,1379106,39,2025,5,1.4,4.27,5.51,2025-12-03T22:26:48.448592+00:00
2025-12-04,1379106,39,2025,11,1.51,5.01,6.53,2025-12-03T22:26:48.448592+00:00
2025-12-04,1379106,39,2025,32,1.47,5.0,6.7,2025-12-03T22:26:48.448592+00:00
2025-12-04,1379106,39,2025,21,1.44,4.5,6.0,2025-12-03T22:26:48.448592+00:00
