run_date,fixture_id,league_id,season,bookmaker_id,odds_home,odds_draw,odds_away,collected_at_utc
2025-12-19,1382577,144,2025,1,2.8,3.2,2.5,2025-12-18T10:47:31.224198+00:00
2025-12-19,1382577,144,2025,7,2.8,3.0,2.5,2025-12-18T10:47:31.224198+00:00
2025-12-19,1382577,144,2025,8,2.7,3.2,2.45,2025-12-18T10:47:31.224198+00:00
2025-12-19,1382577,144,2025,2,2.81,3.16,2.5,2025-12-18T10:47:31.224198+00:00
2025-12-19,1382577,144,2025,16,2.88,3.2,2.48,2025-12-18T10:47:31.224198+00:00
2025-12-19,1382577,144,2025,3,2.88,3.3,2.45,2025-12-18T10:47:31.224198+00:00
2025-12-19,1382577,144,2025,13,2.65,3.3,2.49,2025-12-18T10:47:31.224198+00:00
2025-12-19,1382577,144,2025,4,2.89,3.21,2.55,2025-12-18T10:47:31.224198+00:00
2025-12-19,1382577,144,2025,5,2.59,3.04,2.4,2025-12-18T10:47:31.224198+00:00
2025-12-19,1382577,144,2025,11,2.88,3.24,2.56,2025-12-18T10:47:31.224198+00:00
2025-12-19,1382577,144,2025,32,2.9,3.15,2.57,2025-12-18T10:47:31.224198+00:00
2025-12-19,1382577,144,2025,34,2.92,3.15,2.55,2025-12-18T10:47:31.224198+00:00
2025-12-19,1382577,144,2025,21,2.8,3.0,2.5,2025-12-18T10:47:31.224198+00:00
2025-12-19,1386803,40,2025,1,2.24,3.25,3.3,2025-12-18T10:47:43.227798+00:00
2025-12-19,1386803,40,2025,7,2.25,3.1,3.25,2025-12-18T10:47:43.227798+00:00
2025-12-19,1386803,40,2025,8,2.2,3.3,3.3,2025-12-18T10:47:43.227798+00:00
2025-12-19,1386803,40,2025,2,2.25,3.18,3.2,2025-12-18T10:47:43.227798+00:00
2025-12-19,1386803,40,2025,16,2.3,3.2,3.2,2025-12-18T10:47:43.227798+00:00
2025-12-19,1386803,40,2025,3,2.25,3.1,3.4,2025-12-18T10:47:43.227798+00:00
2025-12-19,1386803,40,2025,13,2.19,3.3,3.1,2025-12-18T10:47:43.227798+00:00
2025-12-19,1386803,40,2025,4,2.26,3.24,3.34,2025-12-18T10:47:43.227798+00:00
2025-12-19,1386803,40,2025,5,2.2,2.92,3.01,2025-12-18T10:47:43.227798+00:00
2025-12-19,1386803,40,2025,11,2.27,3.2,3.18,2025-12-18T10:47:43.227798+00:00
2025-12-19,1386803,40,2025,32,2.27,3.2,3.35,2025-12-18T10:47:43.227798+00:00
2025-12-19,1386803,40,2025,34,2.27,3.15,3.4,2025-12-18T10:47:43.227798+00:00
2025-12-19,1386803,40,2025,21,2.25,3.1,3.25,2025-12-18T10:47:43.227798+00:00
2025-12-19,1388435,78,2025,1,1.47,4.55,6.2,2025-12-18T10:47:54.358689+00:00
2025-12-19,1388435,78,2025,7,1.44,4.5,5.5,2025-12-18T10:47:54.358689+00:00
2025-12-19,1388435,78,2025,8,1.48,4.75,6.0,2025-12-18T10:47:54.358689+00:00
