run_date,fixture_id,league_id,season,date_utc,home_team,away_team,result,logged_at_utc
2025-12-15,1378005,135,2025,2025-12-14T19:45:00+00:00,Bologna,Juventus,2,2025-12-15T16:57:38.292458+00:00
2025-12-15,1378006,135,2025,2025-12-14T14:00:00+00:00,Fiorentina,Verona,2,2025-12-15T16:57:38.376401+00:00
2025-12-15,1378007,135,2025,2025-12-14T17:00:00+00:00,Genoa,Inter,2,2025-12-15T16:57:38.488291+00:00
2025-12-15,1378009,135,2025,2025-12-14T11:30:00+00:00,AC Milan,Sassuolo,X,2025-12-15T16:57:38.807621+00:00
2025-12-15,1378013,135,2025,2025-12-14T14:00:00+00:00,Udinese,Napoli,1,2025-12-15T16:57:39.175805+00:00
2025-12-15,1379120,39,2025,2025-12-14T16:30:00+00:00,Brentford,Leeds,X,2025-12-15T16:57:39.258981+00:00
2025-12-15,1379123,39,2025,2025-12-14T14:00:00+00:00,Crystal Palace,Manchester City,2,2025-12-15T16:57:39.372719+00:00
2025-12-15,1379126,39,2025,2025-12-14T14:00:00+00:00,Nottingham Forest,Tottenham,1,2025-12-15T16:57:39.488198+00:00
2025-12-15,1379127,39,2025,2025-12-14T14:00:00+00:00,Sunderland,Newcastle,1,2025-12-15T16:57:39.884213+00:00
2025-12-15,1379128,39,2025,2025-12-14T14:00:00+00:00,West Ham,Aston Villa,2,2025-12-15T16:57:40.039773+00:00
2025-12-15,1381002,88,2025,2025-12-14T13:30:00+00:00,Ajax,Feyenoord,1,2025-12-15T16:57:40.278621+00:00
2025-12-15,1381005,88,2025,2025-12-14T15:45:00+00:00,NAC Breda,Utrecht,X,2025-12-15T16:57:40.483866+00:00
2025-12-15,1381007,88,2025,2025-12-14T11:15:00+00:00,Sparta Rotterdam,Heerenveen,2,2025-12-15T16:57:40.819787+00:00
2025-12-15,1381009,88,2025,2025-12-14T13:30:00+00:00,Twente,GO Ahead Eagles,1,2025-12-15T16:57:41.045603+00:00
2025-12-15,1382564,144,2025,2025-12-14T12:30:00+00:00,Gent,Antwerp,2,2025-12-15T16:57:41.271643+00:00
2025-12-15,1382565,144,2025,2025-12-14T18:15:00+00:00,Genk,KVC Westerlo,X,2025-12-15T16:57:41.361594+00:00
2025-12-15,1382567,144,2025,2025-12-14T17:30:00+00:00,Charleroi,Union St. Gilloise,X,2025-12-15T16:57:41.477886+00:00
2025-12-15,1382568,144,2025,2025-12-14T15:00:00+00:00,Dender,Club Brugge KV,2,2025-12-15T16:57:41.827124+00:00
2025-12-15,1387834,61,2025,2025-12-14T16:15:00+00:00,Auxerre,Lille,2,2025-12-15T16:57:42.265943+00:00
2025-12-15,1387835,61,2025,2025-12-14T16:15:00+00:00,Lens,Nice,1,2025-12-15T16:57:42.372796+00:00
2025-12-15,1387836,61,2025,2025-12-14T14:00:00+00:00,Lyon,Le Havre,1,2025-12-15T16:57:42.489587+00:00
2025-12-15,1387837,61,2025,2025-12-14T19:45:00+00:00,Marseille,Monaco,1,2025-12-15T16:57:42.861388+00:00
2025-12-15,1387841,61,2025,2025-12-14T16:15:00+00:00,Strasbourg,Lorient,X,2025-12-15T16:57:43.046898+00:00
2025-12-15,1388426,78,2025,2025-12-14T16:30:00+00:00,Bayern München,FSV Mainz 05,X,2025-12-15T16:57:43.261694+00:00
2025-12-15,1388429,78,2025,2025-12-14T14:30:00+00:00,SC Freiburg,Borussia Dortmund,X,2025-12-15T16:57:43.377153+00:00
2025-12-15,1388433,78,2025,2025-12-14T18:30:00+00:00,Werder Bremen,VfB Stuttgart,2,2025-12-15T16:57:43.487968+00:00
2025-12-15,1390969,140,2025,2025-12-14T20:00:00+00:00,Alaves,Real Madrid,2,2025-12-15T16:57:43.823782+00:00
2025-12-15,1390972,140,2025,2025-12-14T15:15:00+00:00,Celta Vigo,Athletic Club,1,2025-12-15T16:57:44.049211+00:00
2025-12-15,1390978,140,2025,2025-12-14T13:00:00+00:00,Sevilla,Oviedo,1,2025-12-15T16:57:44.376990+00:00
2025-12-15,1394570,203,2025,2025-12-14T11:30:00+00:00,Gazişehir Gaziantep,Göztepe,2,2025-12-15T16:57:44.483677+00:00
2025-12-15,1394571,203,2025,2025-12-14T14:00:00+00:00,Fatih Karagümrük,Kocaelispor,X,2025-12-15T16:57:44.836990+00:00
2025-12-15,1394575,203,2025,2025-12-14T17:00:00+00:00,Samsunspor,Başakşehir,2,2025-12-15T16:57:45.044021+00:00
2025-12-15,1394576,203,2025,2025-12-14T17:00:00+00:00,Trabzonspor,Beşiktaş,X,2025-12-15T16:57:45.319624+00:00
2025-12-15,1396354,94,2025,2025-12-14T20:30:00+00:00,Arouca,Alverca,1,2025-12-15T16:57:45.399777+00:00
2025-12-15,1396357,94,2025,2025-12-14T15:30:00+00:00,Famalicao,Estoril,1,2025-12-15T16:57:45.478018+00:00
2025-12-15,1396359,94,2025,2025-12-14T18:00:00+00:00,Moreirense,Benfica,2,2025-12-15T16:57:45.858882+00:00
2025-12-15,1490750,128,2025,2025-12-14T00:00:00+00:00,Racing Club,Estudiantes L.P.,2,2025-12-15T16:57:46.280575+00:00
