run_date,fixture_id,league_id,season,date_utc,home_team,away_team,result,logged_at_utc
2025-12-09,1377997,135,2025,2025-12-07T17:00:00+00:00,Lazio,Bologna,X,2025-12-09T02:42:11.008398+00:00
2025-12-09,1377998,135,2025,2025-12-07T19:45:00+00:00,Napoli,Juventus,1,2025-12-09T02:42:11.050426+00:00
2025-12-09,1377999,135,2025,2025-12-08T14:00:00+00:00,Pisa,Parma,2,2025-12-09T02:42:11.088931+00:00
2025-12-09,1378001,135,2025,2025-12-08T19:45:00+00:00,Torino,AC Milan,2,2025-12-09T02:42:11.128810+00:00
2025-12-09,1378002,135,2025,2025-12-08T17:00:00+00:00,Udinese,Genoa,2,2025-12-09T02:42:11.168659+00:00
2025-12-09,1379113,39,2025,2025-12-07T16:30:00+00:00,Fulham,Crystal Palace,2,2025-12-09T02:42:11.207594+00:00
2025-12-09,1379118,39,2025,2025-12-08T20:00:00+00:00,Wolves,Manchester United,2,2025-12-09T02:42:11.245194+00:00
2025-12-09,1382558,144,2025,2025-12-07T18:15:00+00:00,OH Leuven,Zulte Waregem,X,2025-12-09T02:42:11.302493+00:00
2025-12-09,1387826,61,2025,2025-12-07T16:15:00+00:00,Le Havre,Paris FC,X,2025-12-09T02:42:11.413408+00:00
2025-12-09,1387828,61,2025,2025-12-07T19:45:00+00:00,Lorient,Lyon,1,2025-12-09T02:42:11.457245+00:00
2025-12-09,1390963,140,2025,2025-12-07T17:30:00+00:00,Espanyol,Rayo Vallecano,1,2025-12-09T02:42:11.495101+00:00
2025-12-09,1390964,140,2025,2025-12-08T20:00:00+00:00,Osasuna,Levante,1,2025-12-09T02:42:11.535546+00:00
2025-12-09,1390965,140,2025,2025-12-07T20:00:00+00:00,Real Madrid,Celta Vigo,2,2025-12-09T02:43:11.611150+00:00
2025-12-09,1394559,203,2025,2025-12-08T17:00:00+00:00,Alanyaspor,Antalyaspor,X,2025-12-09T02:43:11.668875+00:00
2025-12-09,1394561,203,2025,2025-12-08T17:00:00+00:00,Beşiktaş,Gazişehir Gaziantep,X,2025-12-09T02:43:11.709339+00:00
2025-12-09,1394565,203,2025,2025-12-07T17:00:00+00:00,Göztepe,Trabzonspor,2,2025-12-09T02:43:11.751570+00:00
2025-12-09,1396346,94,2025,2025-12-07T18:00:00+00:00,Alverca,Nacional,1,2025-12-09T02:43:11.790070+00:00
2025-12-09,1396349,94,2025,2025-12-07T18:00:00+00:00,Estrela,Arouca,1,2025-12-09T02:43:11.828219+00:00
2025-12-09,1396352,94,2025,2025-12-07T20:30:00+00:00,Tondela,FC Porto,2,2025-12-09T02:43:11.867317+00:00
2025-12-09,1396353,94,2025,2025-12-08T20:30:00+00:00,Guimaraes,GIL Vicente,X,2025-12-09T02:43:11.909039+00:00
2025-12-09,1478047,71,2025,2025-12-07T19:00:00+00:00,Atletico-MG,Vasco DA Gama,1,2025-12-09T02:43:11.949931+00:00
2025-12-09,1478048,71,2025,2025-12-07T19:00:00+00:00,Botafogo,Fortaleza EC,1,2025-12-09T02:43:11.994574+00:00
2025-12-09,1478049,71,2025,2025-12-07T19:00:00+00:00,Ceara,Palmeiras,2,2025-12-09T02:43:12.034652+00:00
2025-12-09,1478050,71,2025,2025-12-07T19:00:00+00:00,Corinthians,Juventude,X,2025-12-09T02:43:12.077389+00:00
2025-12-09,1478051,71,2025,2025-12-07T19:00:00+00:00,Fluminense,Bahia,1,2025-12-09T02:43:12.116219+00:00
2025-12-09,1478052,71,2025,2025-12-07T19:00:00+00:00,Internacional,RB Bragantino,1,2025-12-09T02:43:12.158227+00:00
2025-12-09,1478054,71,2025,2025-12-07T19:00:00+00:00,Santos,Cruzeiro,1,2025-12-09T02:43:12.196627+00:00
2025-12-09,1478055,71,2025,2025-12-07T19:00:00+00:00,Sport Recife,Gremio,2,2025-12-09T02:43:12.240906+00:00
2025-12-09,1478056,71,2025,2025-12-07T19:00:00+00:00,Vitoria,Sao Paulo,1,2025-12-09T02:43:12.293209+00:00
2025-12-09,1488799,128,2025,2025-12-07T22:00:00+00:00,Boca Juniors,Racing Club,2,2025-12-09T02:43:12.334719+00:00
2025-12-09,1488800,128,2025,2025-12-08T20:00:00+00:00,Gimnasia L.P.,Estudiantes L.P.,2,2025-12-09T02:43:12.376746+00:00
