run_date,fixture_id,league_id,season,date_utc,home_team,away_team,result,logged_at_utc
2025-12-21,1378014,135,2025,2025-12-21T11:30:00+00:00,Cagliari,Pisa,X,2025-12-21T15:09:06.083511+00:00
2025-12-21,1378019,135,2025,2025-12-20T19:45:00+00:00,Juventus,AS Roma,1,2025-12-21T15:09:06.160342+00:00
2025-12-21,1378020,135,2025,2025-12-20T17:00:00+00:00,Lazio,Cremonese,X,2025-12-21T15:09:06.238784+00:00
2025-12-21,1379130,39,2025,2025-12-20T15:00:00+00:00,Bournemouth,Burnley,X,2025-12-21T15:09:06.725023+00:00
2025-12-21,1379131,39,2025,2025-12-20T15:00:00+00:00,Brighton,Sunderland,X,2025-12-21T15:09:06.972737+00:00
2025-12-21,1379132,39,2025,2025-12-20T20:00:00+00:00,Everton,Arsenal,2,2025-12-21T15:09:07.160668+00:00
2025-12-21,1379134,39,2025,2025-12-20T20:00:00+00:00,Leeds,Crystal Palace,1,2025-12-21T15:09:07.255400+00:00
2025-12-21,1379135,39,2025,2025-12-20T15:00:00+00:00,Manchester City,West Ham,1,2025-12-21T15:09:07.335259+00:00
2025-12-21,1379136,39,2025,2025-12-20T12:30:00+00:00,Newcastle,Chelsea,X,2025-12-21T15:09:07.691438+00:00
2025-12-21,1379137,39,2025,2025-12-20T17:30:00+00:00,Tottenham,Liverpool,2,2025-12-21T15:09:07.944918+00:00
2025-12-21,1379138,39,2025,2025-12-20T15:00:00+00:00,Wolves,Brentford,2,2025-12-21T15:09:08.149957+00:00
2025-12-21,1381011,88,2025,2025-12-20T17:45:00+00:00,Excelsior,PEC Zwolle,1,2025-12-21T15:09:08.357147+00:00
2025-12-21,1381015,88,2025,2025-12-20T15:30:00+00:00,Heracles,Heerenveen,2,2025-12-21T15:09:09.177821+00:00
2025-12-21,1381016,88,2025,2025-12-20T20:00:00+00:00,NAC Breda,Telstar,2,2025-12-21T15:09:09.265280+00:00
2025-12-21,1381017,88,2025,2025-12-20T19:00:00+00:00,NEC Nijmegen,Ajax,X,2025-12-21T15:09:09.352938+00:00
2025-12-21,1381019,88,2025,2025-12-21T11:15:00+00:00,Utrecht,PSV Eindhoven,2,2025-12-21T15:09:09.695184+00:00
2025-12-21,1382572,144,2025,2025-12-21T12:30:00+00:00,Club Brugge KV,Gent,1,2025-12-21T15:09:09.950981+00:00
2025-12-21,1382573,144,2025,2025-12-20T19:45:00+00:00,Union St. Gilloise,Zulte Waregem,1,2025-12-21T15:09:10.164373+00:00
