run_date,fixture_id,league_id,season,date_utc,home_team,away_team,result,logged_at_utc
2025-12-16,1378011,135,2025,2025-12-15T19:45:00+00:00,AS Roma,Como,1,2025-12-16T12:31:02.828276+00:00
2025-12-16,1379125,39,2025,2025-12-15T20:00:00+00:00,Manchester United,Bournemouth,X,2025-12-16T12:31:03.007217+00:00
2025-12-16,1386802,40,2025,2025-12-15T20:00:00+00:00,Sheffield Wednesday,Derby,2,2025-12-16T12:31:03.577508+00:00
2025-12-16,1390976,140,2025,2025-12-15T20:00:00+00:00,Rayo Vallecano,Real Betis,X,2025-12-16T12:31:03.991408+00:00
2025-12-16,1394569,203,2025,2025-12-15T17:00:00+00:00,Fenerbahçe,Konyaspor,1,2025-12-16T12:31:04.228604+00:00
2025-12-16,1396355,94,2025,2025-12-15T18:45:00+00:00,SC Braga,Santa Clara,1,2025-12-16T12:31:04.393550+00:00
2025-12-16,1396358,94,2025,2025-12-15T20:45:00+00:00,FC Porto,Estrela,1,2025-12-16T12:31:04.566722+00:00
2025-12-16,1396360,94,2025,2025-12-13T15:30:00+00:00,Nacional,Tondela,1,2025-12-16T12:31:04.759823+00:00
