run_date,fixture_id,league_id,season,date_utc,home_team,away_team,result,logged_at_utc
2025-12-07,1377994,135,2025,2025-12-07T14:00:00+00:00,Cagliari,AS Roma,1,2025-12-07T17:47:48.082078+00:00
2025-12-07,1377995,135,2025,2025-12-07T11:30:00+00:00,Cremonese,Lecce,1,2025-12-07T17:47:48.149460+00:00
2025-12-07,1379111,39,2025,2025-12-07T14:00:00+00:00,Brighton,West Ham,X,2025-12-07T17:47:48.271146+00:00
2025-12-07,1379456,119,2025,2025-12-07T13:00:00+00:00,Viborg,FC Midtjylland,X,2025-12-07T17:47:48.412280+00:00
2025-12-07,1380993,88,2025,2025-12-07T13:30:00+00:00,AZ Alkmaar,GO Ahead Eagles,X,2025-12-07T17:47:48.474980+00:00
2025-12-07,1380995,88,2025,2025-12-07T13:30:00+00:00,FC Volendam,NEC Nijmegen,2,2025-12-07T17:47:48.549021+00:00
2025-12-07,1381000,88,2025,2025-12-07T15:45:00+00:00,Sparta Rotterdam,NAC Breda,1,2025-12-07T17:47:48.615308+00:00
2025-12-07,1381001,88,2025,2025-12-07T11:15:00+00:00,Utrecht,Twente,X,2025-12-07T17:47:48.683208+00:00
2025-12-07,1382556,144,2025,2025-12-07T12:30:00+00:00,KV Mechelen,Charleroi,1,2025-12-07T17:47:48.748871+00:00
2025-12-07,1382560,144,2025,2025-12-07T15:00:00+00:00,KVC Westerlo,Anderlecht,1,2025-12-07T17:47:48.815725+00:00
2025-12-07,1382561,144,2025,2025-12-07T17:30:00+00:00,Antwerp,Genk,1,2025-12-07T17:47:48.883851+00:00
2025-12-07,1387824,61,2025,2025-12-07T16:15:00+00:00,Auxerre,Metz,1,2025-12-07T17:47:49.065608+00:00
2025-12-07,1387830,61,2025,2025-12-07T14:00:00+00:00,Nice,Angers,2,2025-12-07T17:47:49.199039+00:00
2025-12-07,1388417,78,2025,2025-12-07T16:30:00+00:00,Borussia Dortmund,1899 Hoffenheim,1,2025-12-07T17:47:49.267814+00:00
2025-12-07,1388419,78,2025,2025-12-07T14:30:00+00:00,Hamburger SV,Werder Bremen,1,2025-12-07T17:47:49.332503+00:00
2025-12-07,1390962,140,2025,2025-12-07T13:00:00+00:00,Elche,Girona,1,2025-12-07T17:47:49.399461+00:00
2025-12-07,1390967,140,2025,2025-12-07T15:15:00+00:00,Valencia,Sevilla,X,2025-12-07T17:47:49.532258+00:00
2025-12-07,1394564,203,2025,2025-12-07T11:30:00+00:00,Genclerbirligi,Fatih Karagümrük,1,2025-12-07T17:47:49.612783+00:00
2025-12-07,1394566,203,2025,2025-12-07T14:00:00+00:00,Kocaelispor,Kasımpaşa,X,2025-12-07T17:47:49.764875+00:00
2025-12-07,1396348,94,2025,2025-12-07T15:30:00+00:00,Estoril,Moreirense,X,2025-12-07T17:47:49.822250+00:00
2025-12-07,1488553,103,2025,2025-12-07T16:00:00+00:00,Bryne,Aalesund,2,2025-12-07T17:47:49.890133+00:00
