run_date,fixture_id,league_id,season,date_utc,home_team,away_team,result,logged_at_utc
2025-12-13,1378008,135,2025,2025-12-12T19:45:00+00:00,Lecce,Pisa,1,2025-12-13T00:22:03.240296+00:00
2025-12-13,1382563,144,2025,2025-12-12T19:45:00+00:00,Standard Liege,OH Leuven,2,2025-12-13T00:22:03.308326+00:00
2025-12-13,1386801,40,2025,2025-12-12T20:00:00+00:00,West Brom,Sheffield Utd,1,2025-12-13T00:22:03.508241+00:00
2025-12-13,1387833,61,2025,2025-12-12T19:45:00+00:00,Angers,Nantes,1,2025-12-13T00:22:04.312426+00:00
2025-12-13,1388432,78,2025,2025-12-12T19:30:00+00:00,Union Berlin,RB Leipzig,1,2025-12-13T00:22:04.373374+00:00
2025-12-13,1390977,140,2025,2025-12-12T20:00:00+00:00,Real Sociedad,Girona,2,2025-12-13T00:22:04.447266+00:00
2025-12-13,1394572,203,2025,2025-12-12T17:00:00+00:00,Kasımpaşa,Genclerbirligi,X,2025-12-13T00:22:04.510230+00:00
2025-12-13,1451250,3,2025,2025-12-11T17:45:00+00:00,Ferencvarosi TC,Rangers,1,2025-12-13T00:22:04.568778+00:00
