run_date,fixture_id,league_id,season,date_utc,home_team,away_team,result,logged_at_utc
2025-12-05,1379106,39,2025,2025-12-04T20:00:00+00:00,Manchester United,West Ham,X,2025-12-05T21:41:58.639266+00:00
2025-12-05,1379452,119,2025,2025-12-05T18:00:00+00:00,FC Fredericia,Odense,2,2025-12-05T21:41:58.729712+00:00
2025-12-05,1380994,88,2025,2025-12-05T19:00:00+00:00,Excelsior,Groningen,2,2025-12-05T21:41:58.821217+00:00
2025-12-05,1382557,144,2025,2025-12-05T19:45:00+00:00,RAAL La Louvière,Dender,2,2025-12-05T21:41:58.930427+00:00
2025-12-05,1386772,40,2025,2025-12-05T20:00:00+00:00,Hull City,Middlesbrough,2,2025-12-05T21:41:59.020229+00:00
2025-12-05,1387825,61,2025,2025-12-05T18:00:00+00:00,Stade Brestois 29,Monaco,1,2025-12-05T21:41:59.115208+00:00
2025-12-05,1387827,61,2025,2025-12-05T20:00:00+00:00,Lille,Marseille,1,2025-12-05T21:41:59.205597+00:00
2025-12-05,1388421,78,2025,2025-12-05T19:30:00+00:00,FSV Mainz 05,Borussia Mönchengladbach,2,2025-12-05T21:41:59.306139+00:00
2025-12-05,1394563,203,2025,2025-12-05T17:00:00+00:00,Galatasaray,Samsunspor,1,2025-12-05T21:41:59.498632+00:00
2025-12-05,1478039,71,2025,2025-12-04T22:30:00+00:00,Cruzeiro,Botafogo,X,2025-12-05T21:41:59.712616+00:00
