run_date,fixture_id,league_id,season,date_utc,home_team,away_team,result,logged_at_utc
2026-01-04,1378034,135,2025,2026-01-03T19:45:00+00:00,Atalanta,AS Roma,1,2026-01-04T00:17:42.597182+00:00
2026-01-04,1378038,135,2025,2026-01-03T14:00:00+00:00,Genoa,Pisa,X,2026-01-04T00:17:42.657414+00:00
2026-01-04,1378040,135,2025,2026-01-03T17:00:00+00:00,Juventus,Lecce,X,2026-01-04T00:17:42.733940+00:00
2026-01-04,1378042,135,2025,2026-01-03T14:00:00+00:00,Sassuolo,Parma,X,2026-01-04T00:17:42.801042+00:00
2026-01-04,1379160,39,2025,2026-01-03T17:30:00+00:00,Bournemouth,Arsenal,2,2026-01-04T00:17:43.501383+00:00
2026-01-04,1379161,39,2025,2026-01-03T15:00:00+00:00,Brighton,Burnley,1,2026-01-04T00:17:43.657294+00:00
2026-01-04,1379168,39,2025,2026-01-03T15:00:00+00:00,Wolves,West Ham,1,2026-01-04T00:17:43.726874+00:00
2026-01-04,1387844,61,2025,2026-01-03T20:05:00+00:00,Lille,Rennes,2,2026-01-04T00:17:43.815473+00:00
2026-01-04,1387847,61,2025,2026-01-03T16:00:00+00:00,Monaco,Lyon,2,2026-01-04T00:17:44.558024+00:00
2026-01-04,1387848,61,2025,2026-01-03T18:00:00+00:00,Nice,Strasbourg,X,2026-01-04T00:17:44.648631+00:00
2026-01-04,1390990,140,2025,2026-01-03T13:00:00+00:00,Celta Vigo,Valencia,1,2026-01-04T00:17:44.730908+00:00
2026-01-04,1390991,140,2025,2026-01-03T17:30:00+00:00,Elche,Villarreal,2,2026-01-04T00:17:44.823963+00:00
2026-01-04,1390992,140,2025,2026-01-03T20:00:00+00:00,Espanyol,Barcelona,2,2026-01-04T00:17:45.504808+00:00
2026-01-04,1390994,140,2025,2026-01-03T15:15:00+00:00,Osasuna,Athletic Club,X,2026-01-04T00:17:45.668686+00:00
2026-01-04,1396381,94,2025,2026-01-03T20:30:00+00:00,AVS,Moreirense,2,2026-01-04T00:17:45.748278+00:00
2026-01-04,1396383,94,2025,2026-01-03T18:00:00+00:00,Benfica,Estoril,1,2026-01-04T00:17:45.817466+00:00
2026-01-04,1396384,94,2025,2026-01-03T18:00:00+00:00,Estrela,SC Braga,X,2026-01-04T00:17:46.524709+00:00
2026-01-04,1396388,94,2025,2026-01-03T15:30:00+00:00,Tondela,Arouca,1,2026-01-04T00:17:46.669259+00:00
2026-01-04,1378041,135,2025,2026-01-04T11:30:00+00:00,Lazio,Napoli,2,2026-01-04T13:32:23.830337+00:00
2026-01-04,1386852,40,2025,2026-01-04T12:00:00+00:00,QPR,Sheffield Wednesday,1,2026-01-04T14:03:19.588728+00:00
2026-01-04,1386858,40,2025,2026-01-04T12:00:00+00:00,Birmingham,Coventry,1,2026-01-04T14:03:21.208947+00:00
2026-01-04,1378037,135,2025,2026-01-04T14:00:00+00:00,Fiorentina,Cremonese,1,2026-01-04T17:53:47.574683+00:00
2026-01-04,1379162,39,2025,2026-01-04T15:00:00+00:00,Everton,Brentford,2,2026-01-04T17:53:47.754573+00:00
2026-01-04,1379163,39,2025,2026-01-04T15:00:00+00:00,Fulham,Liverpool,X,2026-01-04T17:53:48.180508+00:00
2026-01-04,1379164,39,2025,2026-01-04T12:30:00+00:00,Leeds,Manchester United,X,2026-01-04T17:53:48.335885+00:00
2026-01-04,1379166,39,2025,2026-01-04T15:00:00+00:00,Newcastle,Crystal Palace,1,2026-01-04T17:53:48.747311+00:00
2026-01-04,1379167,39,2025,2026-01-04T15:00:00+00:00,Tottenham,Sunderland,X,2026-01-04T17:53:49.131924+00:00
2026-01-04,1386851,40,2025,2026-01-04T15:00:00+00:00,Derby,Wrexham,2,2026-01-04T17:53:49.393214+00:00
2026-01-04,1386853,40,2025,2026-01-04T15:00:00+00:00,Blackburn,Charlton,X,2026-01-04T17:53:49.656150+00:00
2026-01-04,1386855,40,2025,2026-01-04T15:00:00+00:00,Middlesbrough,Southampton,1,2026-01-04T17:53:49.834463+00:00
2026-01-04,1386859,40,2025,2026-01-04T15:00:00+00:00,Bristol City,Preston,2,2026-01-04T17:53:50.747006+00:00
2026-01-04,1386860,40,2025,2026-01-04T15:00:00+00:00,Norwich,Stoke City,2,2026-01-04T17:53:50.838037+00:00
2026-01-04,1386862,40,2025,2026-01-04T15:00:00+00:00,Millwall,Swansea,1,2026-01-04T17:53:51.349974+00:00
2026-01-04,1387846,61,2025,2026-01-04T14:00:00+00:00,Marseille,Nantes,2,2026-01-04T17:53:52.374062+00:00
2026-01-04,1390996,140,2025,2026-01-04T15:15:00+00:00,Real Madrid,Real Betis,1,2026-01-04T17:53:53.029178+00:00
2026-01-04,1390998,140,2025,2026-01-04T13:00:00+00:00,Sevilla,Levante,2,2026-01-04T17:53:53.363346+00:00
2026-01-04,1396386,94,2025,2026-01-04T15:30:00+00:00,Rio Ave,Casa Pia,1,2026-01-04T17:53:53.673988+00:00
