run_date,fixture_id,league_id,season,date_utc,home_team,away_team,result,logged_at_utc
2025-12-02,1377985,135,2025,2025-12-01T19:45:00+00:00,Bologna,Cremonese,2,2025-12-02T21:39:17.053397+00:00
2025-12-02,1386756,40,2025,2025-12-01T20:00:00+00:00,Birmingham,Watford,1,2025-12-02T21:39:17.090029+00:00
2025-12-02,1390956,140,2025,2025-12-01T20:00:00+00:00,Rayo Vallecano,Valencia,X,2025-12-02T21:39:17.134358+00:00
2025-12-02,1394551,203,2025,2025-12-01T17:00:00+00:00,Fenerbahçe,Galatasaray,X,2025-12-02T21:39:17.168046+00:00
2025-12-02,1394557,203,2025,2025-12-01T17:00:00+00:00,Samsunspor,Alanyaspor,X,2025-12-02T21:39:17.212405+00:00
2025-12-02,1396336,94,2025,2025-12-01T20:15:00+00:00,Arouca,SC Braga,2,2025-12-02T21:39:17.267881+00:00
2025-12-02,1488224,128,2025,2025-12-01T20:00:00+00:00,Barracas Central,Gimnasia L.P.,2,2025-12-02T21:39:17.355883+00:00
