run_date,fixture_id,league_id,season,date_utc,home_team,away_team,result,logged_at_utc
2026-01-03,1378035,135,2025,2026-01-02T19:45:00+00:00,Cagliari,AC Milan,2,2026-01-03T00:11:18.704291+00:00
2026-01-03,1387850,61,2025,2026-01-02T19:45:00+00:00,Toulouse,Lens,2,2026-01-03T00:11:18.780582+00:00
2026-01-03,1390995,140,2025,2026-01-02T20:00:00+00:00,Rayo Vallecano,Getafe,X,2026-01-03T00:11:18.848366+00:00
2026-01-03,1396385,94,2025,2026-01-02T18:45:00+00:00,GIL Vicente,Sporting CP,X,2026-01-03T00:11:18.912654+00:00
2026-01-03,1396389,94,2025,2026-01-02T20:45:00+00:00,Guimaraes,Nacional,1,2026-01-03T00:11:19.600985+00:00
2026-01-03,1378036,135,2025,2026-01-03T11:30:00+00:00,Como,Udinese,1,2026-01-03T13:36:59.627956+00:00
