run_date,fixture_id,league_id,season,date_utc,home_team,away_team,result,logged_at_utc
2025-12-11,1386788,40,2025,2025-12-10T20:00:00+00:00,Hull City,Wrexham,1,2025-12-11T15:08:26.721597+00:00
2025-12-11,1386789,40,2025,2025-12-10T19:45:00+00:00,Derby,Millwall,X,2025-12-11T15:08:26.776660+00:00
2025-12-11,1386790,40,2025,2025-12-10T19:45:00+00:00,Bristol City,Leicester,X,2025-12-11T15:08:26.821029+00:00
2025-12-11,1386787,40,2025,2025-12-10T19:45:00+00:00,Ipswich,Stoke City,1,2025-12-11T16:22:26.602356+00:00
2025-12-11,1451121,2,2025,2025-12-10T20:00:00+00:00,Real Madrid,Manchester City,2,2025-12-11T16:22:26.670632+00:00
2025-12-11,1451124,2,2025,2025-12-10T20:00:00+00:00,Bayer Leverkusen,Newcastle,X,2025-12-11T16:22:26.780946+00:00
